order_id,customer_id,order_placement_date,On Time,In Full,On Time In Full,customer_name,city,ontime_target%,infull_target%,otif_target%,date,mmm_yy,week_no,days_for_delivery,total_order_qty,total_delivery_qty,volume_fill_rate
FMR33122402,789122,2022-03-01,0,0,0,Coolblue,Vadodara,76,65,49,01-Mar-22,Mar 22,10,2,460,437,95.0
FMR33122301,789122,2022-03-01,0,0,0,Coolblue,Vadodara,76,65,49,01-Mar-22,Mar 22,10,2,432,429,99.30555555555556
FMR34122601,789122,2022-03-01,0,0,0,Coolblue,Vadodara,76,65,49,01-Mar-22,Mar 22,10,3,68,61,89.70588235294117
FMR34122303,789122,2022-03-01,0,0,0,Coolblue,Vadodara,76,65,49,01-Mar-22,Mar 22,10,3,447,423,94.63087248322147
FMR32122401,789122,2022-03-01,0,0,0,Coolblue,Vadodara,76,65,49,01-Mar-22,Mar 22,10,1,240,228,95.0
FMR34122103,789122,2022-03-01,100,100,100,Coolblue,Vadodara,76,65,49,01-Mar-22,Mar 22,10,3,458,458,100.0
FMR33220603,789220,2022-03-01,100,0,0,Atlas Stores,Surat,91,76,69,01-Mar-22,Mar 22,10,2,641,636,99.21996879875195
FMR32220503,789220,2022-03-01,100,0,0,Atlas Stores,Surat,91,76,69,01-Mar-22,Mar 22,10,1,580,475,81.89655172413794
FMR34220601,789220,2022-03-01,100,100,100,Atlas Stores,Surat,91,76,69,01-Mar-22,Mar 22,10,3,1164,1164,100.0
FMR32220602,789220,2022-03-01,100,100,100,Atlas Stores,Surat,91,76,69,01-Mar-22,Mar 22,10,1,77,77,100.0
FMR34520301,789520,2022-03-01,100,0,0,Acclaimed Stores,Surat,75,68,51,01-Mar-22,Mar 22,10,3,638,574,89.96865203761756
FMR32520603,789520,2022-03-01,100,0,0,Acclaimed Stores,Surat,75,68,51,01-Mar-22,Mar 22,10,1,354,322,90.96045197740112
FMR34520302,789520,2022-03-01,0,0,0,Acclaimed Stores,Surat,75,68,51,01-Mar-22,Mar 22,10,3,396,358,90.40404040404042
FMR33520502,789520,2022-03-01,0,0,0,Acclaimed Stores,Surat,75,68,51,01-Mar-22,Mar 22,10,2,532,514,96.61654135338345
FMR34520503,789520,2022-03-01,0,0,0,Acclaimed Stores,Surat,75,68,51,01-Mar-22,Mar 22,10,3,376,350,93.08510638297872
FMR34520602,789520,2022-03-01,0,0,0,Acclaimed Stores,Surat,75,68,51,01-Mar-22,Mar 22,10,3,568,515,90.66901408450704
FMR33520601,789520,2022-03-01,0,0,0,Acclaimed Stores,Surat,75,68,51,01-Mar-22,Mar 22,10,2,224,180,80.35714285714286
FMR32520302,789520,2022-03-01,0,0,0,Acclaimed Stores,Surat,75,68,51,01-Mar-22,Mar 22,10,1,54,49,90.74074074074075
FMR32501601,789501,2022-03-01,100,0,0,Viveks Stores,Surat,92,80,74,01-Mar-22,Mar 22,10,1,986,976,98.98580121703854
FMR33501401,789501,2022-03-01,100,0,0,Viveks Stores,Surat,92,80,74,01-Mar-22,Mar 22,10,2,1229,1200,97.64035801464605
FMR34501203,789501,2022-03-01,100,100,100,Viveks Stores,Surat,92,80,74,01-Mar-22,Mar 22,10,3,818,818,100.0
FMR32501201,789501,2022-03-01,100,100,100,Viveks Stores,Surat,92,80,74,01-Mar-22,Mar 22,10,1,273,273,100.0
FMR32503401,789503,2022-03-01,100,0,0,Viveks Stores,Vadodara,86,82,71,01-Mar-22,Mar 22,10,1,908,816,89.86784140969164
FMR33503502,789503,2022-03-01,100,0,0,Viveks Stores,Vadodara,86,82,71,01-Mar-22,Mar 22,10,2,1589,1573,98.99307740717433
FMR34503502,789503,2022-03-01,100,100,100,Viveks Stores,Vadodara,86,82,71,01-Mar-22,Mar 22,10,3,231,231,100.0
FMR33403501,789403,2022-03-01,100,0,0,Propel Mart,Vadodara,86,79,68,01-Mar-22,Mar 22,10,2,709,697,98.30747531734838
FMR32403401,789403,2022-03-01,100,100,100,Propel Mart,Vadodara,86,79,68,01-Mar-22,Mar 22,10,1,1293,1293,100.0
FMR34421301,789421,2022-03-01,100,0,0,Lotus Mart,Ahmedabad,78,66,51,01-Mar-22,Mar 22,10,3,459,436,94.98910675381264
FMR32421601,789421,2022-03-01,100,0,0,Lotus Mart,Ahmedabad,78,66,51,01-Mar-22,Mar 22,10,1,108,103,95.37037037037037
FMR32421203,789421,2022-03-01,0,0,0,Lotus Mart,Ahmedabad,78,66,51,01-Mar-22,Mar 22,10,1,441,419,95.01133786848072
FMR33421203,789421,2022-03-01,0,0,0,Lotus Mart,Ahmedabad,78,66,51,01-Mar-22,Mar 22,10,2,436,431,98.85321100917432
FMR32421102,789421,2022-03-01,0,0,0,Lotus Mart,Ahmedabad,78,66,51,01-Mar-22,Mar 22,10,1,309,278,89.96763754045307
FMR33421301,789421,2022-03-01,0,0,0,Lotus Mart,Ahmedabad,78,66,51,01-Mar-22,Mar 22,10,2,75,67,89.33333333333333
FMR34421601,789421,2022-03-01,0,0,0,Lotus Mart,Ahmedabad,78,66,51,01-Mar-22,Mar 22,10,3,207,200,96.61835748792271
FMR32421603,789421,2022-03-01,0,0,0,Lotus Mart,Ahmedabad,78,66,51,01-Mar-22,Mar 22,10,1,172,155,90.11627906976744
FMR34303602,789303,2022-03-01,100,0,0,Expression Stores,Vadodara,88,78,69,01-Mar-22,Mar 22,10,3,1081,1005,92.96947271045329
FMR33303501,789303,2022-03-01,100,100,100,Expression Stores,Vadodara,88,78,69,01-Mar-22,Mar 22,10,2,440,440,100.0
FMR32303603,789303,2022-03-01,100,100,100,Expression Stores,Vadodara,88,78,69,01-Mar-22,Mar 22,10,1,169,169,100.0
FMR32121102,789121,2022-03-01,100,0,0,Coolblue,Ahmedabad,78,77,60,01-Mar-22,Mar 22,10,1,397,377,94.96221662468514
FMR34121501,789121,2022-03-01,100,0,0,Coolblue,Ahmedabad,78,77,60,01-Mar-22,Mar 22,10,3,159,127,79.87421383647799
FMR32121301,789121,2022-03-01,0,0,0,Coolblue,Ahmedabad,78,77,60,01-Mar-22,Mar 22,10,1,72,65,90.27777777777779
FMR32121603,789121,2022-03-01,0,0,0,Coolblue,Ahmedabad,78,77,60,01-Mar-22,Mar 22,10,1,200,180,90.0
FMR34121203,789121,2022-03-01,0,100,0,Coolblue,Ahmedabad,78,77,60,01-Mar-22,Mar 22,10,3,480,480,100.0
FMR34121303,789121,2022-03-01,0,100,0,Coolblue,Ahmedabad,78,77,60,01-Mar-22,Mar 22,10,3,49,49,100.0
FMR32121403,789121,2022-03-01,100,100,100,Coolblue,Ahmedabad,78,77,60,01-Mar-22,Mar 22,10,1,441,441,100.0
FMR33121302,789121,2022-03-01,100,100,100,Coolblue,Ahmedabad,78,77,60,01-Mar-22,Mar 22,10,2,26,26,100.0
FMR32522303,789522,2022-03-01,100,0,0,Acclaimed Stores,Vadodara,76,79,60,01-Mar-22,Mar 22,10,1,63,50,79.36507936507937
FMR33522202,789522,2022-03-01,100,0,0,Acclaimed Stores,Vadodara,76,79,60,01-Mar-22,Mar 22,10,2,280,252,90.0
FMR34522403,789522,2022-03-01,0,0,0,Acclaimed Stores,Vadodara,76,79,60,01-Mar-22,Mar 22,10,3,367,358,97.54768392370572
FMR34522601,789522,2022-03-01,0,0,0,Acclaimed Stores,Vadodara,76,79,60,01-Mar-22,Mar 22,10,3,181,163,90.05524861878453
FMR32522301,789522,2022-03-01,0,100,0,Acclaimed Stores,Vadodara,76,79,60,01-Mar-22,Mar 22,10,1,46,46,100.0
FMR33522103,789522,2022-03-01,0,100,0,Acclaimed Stores,Vadodara,76,79,60,01-Mar-22,Mar 22,10,2,384,384,100.0
FMR32420403,789420,2022-03-01,100,0,0,Lotus Mart,Surat,75,79,59,01-Mar-22,Mar 22,10,1,484,405,83.67768595041323
FMR34420303,789420,2022-03-01,100,0,0,Lotus Mart,Surat,75,79,59,01-Mar-22,Mar 22,10,3,63,57,90.47619047619048
FMR32420602,789420,2022-03-01,0,0,0,Lotus Mart,Surat,75,79,59,01-Mar-22,Mar 22,10,1,290,282,97.24137931034483
FMR33420301,789420,2022-03-01,0,0,0,Lotus Mart,Surat,75,79,59,01-Mar-22,Mar 22,10,2,23,18,78.26086956521739
FMR33420203,789420,2022-03-01,0,100,0,Lotus Mart,Surat,75,79,59,01-Mar-22,Mar 22,10,2,495,495,100.0
FMR34420402,789420,2022-03-01,0,100,0,Lotus Mart,Surat,75,79,59,01-Mar-22,Mar 22,10,3,1059,1059,100.0
FMR32420102,789420,2022-03-01,0,100,0,Lotus Mart,Surat,75,79,59,01-Mar-22,Mar 22,10,1,310,310,100.0
FMR33420101,789420,2022-03-01,0,100,0,Lotus Mart,Surat,75,79,59,01-Mar-22,Mar 22,10,2,306,306,100.0
FMR34420501,789420,2022-03-01,0,100,0,Lotus Mart,Surat,75,79,59,01-Mar-22,Mar 22,10,3,704,704,100.0
FMR33420603,789420,2022-03-01,100,100,100,Lotus Mart,Surat,75,79,59,01-Mar-22,Mar 22,10,2,129,129,100.0
FMR34720402,789720,2022-03-01,0,0,0,Logic Stores,Surat,86,77,66,01-Mar-22,Mar 22,10,3,472,448,94.91525423728814
FMR33720503,789720,2022-03-01,0,100,0,Logic Stores,Surat,86,77,66,01-Mar-22,Mar 22,10,2,146,146,100.0
FMR34720303,789720,2022-03-01,0,100,0,Logic Stores,Surat,86,77,66,01-Mar-22,Mar 22,10,3,27,27,100.0
FMR32720302,789720,2022-03-01,100,100,100,Logic Stores,Surat,86,77,66,01-Mar-22,Mar 22,10,1,451,451,100.0
FMR33720202,789720,2022-03-01,100,100,100,Logic Stores,Surat,86,77,66,01-Mar-22,Mar 22,10,2,753,753,100.0
FMR33720501,789720,2022-03-01,100,100,100,Logic Stores,Surat,86,77,66,01-Mar-22,Mar 22,10,2,182,182,100.0
FMR33521201,789521,2022-03-01,0,0,0,Acclaimed Stores,Ahmedabad,78,79,62,01-Mar-22,Mar 22,10,2,487,463,95.07186858316223
FMR33521502,789521,2022-03-01,0,100,0,Acclaimed Stores,Ahmedabad,78,79,62,01-Mar-22,Mar 22,10,2,167,167,100.0
FMR32521302,789521,2022-03-01,0,100,0,Acclaimed Stores,Ahmedabad,78,79,62,01-Mar-22,Mar 22,10,1,34,34,100.0
FMR32521202,789521,2022-03-01,0,100,0,Acclaimed Stores,Ahmedabad,78,79,62,01-Mar-22,Mar 22,10,1,479,479,100.0
FMR33521202,789521,2022-03-01,100,100,100,Acclaimed Stores,Ahmedabad,78,79,62,01-Mar-22,Mar 22,10,2,347,347,100.0
FMR34422403,789422,2022-03-01,0,0,0,Lotus Mart,Vadodara,79,81,64,01-Mar-22,Mar 22,10,3,265,252,95.09433962264151
FMR33422301,789422,2022-03-01,0,0,0,Lotus Mart,Vadodara,79,81,64,01-Mar-22,Mar 22,10,2,63,60,95.23809523809523
FMR32422503,789422,2022-03-01,0,0,0,Lotus Mart,Vadodara,79,81,64,01-Mar-22,Mar 22,10,1,138,110,79.71014492753623
FMR32422302,789422,2022-03-01,0,0,0,Lotus Mart,Vadodara,79,81,64,01-Mar-22,Mar 22,10,1,67,54,80.59701492537313
FMR34422101,789422,2022-03-01,0,100,0,Lotus Mart,Vadodara,79,81,64,01-Mar-22,Mar 22,10,3,444,444,100.0
FMR32422401,789422,2022-03-01,0,100,0,Lotus Mart,Vadodara,79,81,64,01-Mar-22,Mar 22,10,1,659,659,100.0
FMR32422301,789422,2022-03-01,100,100,100,Lotus Mart,Vadodara,79,81,64,01-Mar-22,Mar 22,10,1,63,63,100.0
FMR32603203,789603,2022-03-01,0,100,0,Info Stores,Vadodara,92,75,69,01-Mar-22,Mar 22,10,1,460,460,100.0
FMR33603603,789603,2022-03-01,0,100,0,Info Stores,Vadodara,92,75,69,01-Mar-22,Mar 22,10,2,183,183,100.0
FMR34603401,789603,2022-03-01,0,100,0,Info Stores,Vadodara,92,75,69,01-Mar-22,Mar 22,10,3,313,313,100.0
FMR34603302,789603,2022-03-01,100,100,100,Info Stores,Vadodara,92,75,69,01-Mar-22,Mar 22,10,3,415,415,100.0
FMR33103301,789103,2022-03-02,100,0,0,Vijay Stores,Vadodara,92,67,62,02-Mar-22,Mar 22,10,1,72,68,94.44444444444444
FMR35103601,789103,2022-03-02,100,0,0,Vijay Stores,Vadodara,92,67,62,02-Mar-22,Mar 22,10,3,529,509,96.21928166351607
FMR33103603,789103,2022-03-02,100,100,100,Vijay Stores,Vadodara,92,67,62,02-Mar-22,Mar 22,10,1,243,243,100.0
FMR33903503,789903,2022-03-02,100,0,0,Elite Mart,Vadodara,92,65,60,02-Mar-22,Mar 22,10,1,808,707,87.5
FMR34903403,789903,2022-03-02,100,0,0,Elite Mart,Vadodara,92,65,60,02-Mar-22,Mar 22,10,2,350,342,97.71428571428571
FMR35903601,789903,2022-03-02,100,0,0,Elite Mart,Vadodara,92,65,60,02-Mar-22,Mar 22,10,3,250,231,92.4
FMR35903202,789903,2022-03-02,100,0,0,Elite Mart,Vadodara,92,65,60,02-Mar-22,Mar 22,10,3,374,299,79.94652406417111
FMR35903201,789903,2022-03-02,0,0,0,Elite Mart,Vadodara,92,65,60,02-Mar-22,Mar 22,10,3,388,349,89.94845360824742
